Category ,Accepted /Rejected,Comment
Career Exploration,Accepted,"You passed this. Try to explore more details, like, who are the key employers of the industries you have mentioned."
Career Exploration,Accepted,Please watch this video to create profile (https://youtu.be/hVYBT4UitFY ) and for sharing profile link go to profile > Indeed CV > 3 dots >  share link to my indeed resume
Career Exploration,Accepted,You passed this ! But do note down the names of the institutes and jobs in the industry for you to get more clarity on your goals!
Career Exploration,Rejected,"The profile link is not working, please fill correct link and in question 3 fill the number of months or year for focus"
Career Exploration,Rejected,You are submitting a wrong file format that does not open. Please submit correct file.
Career Exploration,Rejected,"You are submitting blank template, please do the assignment as instructed and re-submit."
Career Exploration,Rejected,"Please do not copy paste assignment, do it by yourself."
Career Exploration,Rejected,Redo the assignment keeping these points in mind and re-submit!
Career Exploration,Rejected,You have to make the career table roughly for yourself and then represent the data creatively on a paper and submit it again!
Career Exploration,Rejected,You have to find STEM careers that you want to get in ! 
Career Exploration,Rejected,You have to be clear and specific about your career exploration. 
Career Exploration,Rejected,"If you are thinking about being Professor or scientist, find real job postings and go through the details. "
Career Exploration,Rejected,This is very broad and vague. 
Career Exploration,Rejected,It is good but you have to specifically mention the name of the course you want to pursue.
Career Exploration,Rejected,"You have to mention the course you are planning to pursue, skills that are needed and then explore the various career paths that are available for that degree. "
Career Exploration,Rejected,do read the instructions carefully before doing the assignment.
Career Exploration,Rejected,"Just do some more research on, which are the top institutes that you would like to get a degree from, to build your career in your preferred subject. "
Career Exploration,Rejected,In your last submission you were instructed to represent the data creatively and not to submit the table.
Career Exploration,Rejected,"Do it for yourself. No need to submit that, as it was your last chance for submission."
Career Exploration,Rejected,"You have to be specific about the skills you need to acquire for the different job roles, the top employers for the job roles and their approximate salaries."
Career Exploration,Rejected,"As mentioned to you previously, try to find STEM specific careers with your subject of interest. "
Career Exploration,Rejected,You were asked to explore various career paths with the degree you wish to pursue not just one or two!
Career Exploration,Rejected,It is good but you have to specifically mention the name of the course/skills that are needed for each level and how you will get that skill (certification/training). Add specific details.
Career Exploration,Rejected,"You have to creatively represent the whole pathway, where to get started from, skills required at each step, the key employers of the industry, from which institute you are planning your MS. "
Career Exploration,Rejected,"You may have a number of different STEM careers in mind but you have to do creative respresentation of the details of 2 - 3 of them. Remember, it must be a STEM career!"
Career Exploration,Rejected,Do the exercise for any STEM related career and re-submit!
Career Exploration,Rejected,Find out specific skills you need and then try to understand how can you get started.
Career Exploration,Rejected,Professor or Researcher position where? Explore scientist positions in different industries based on your subject of interest and note that down.
Career Exploration,Rejected,"You have to be specific about the skills, things that you need to learn at each step to go to the next step and the university you want to get in. "
Career Exploration,Rejected,You also need to think about multiple job options in the industry with the degree and who are the key employers.
Career Exploration,Rejected,"Also find the research institutes, abroad universities that you want to be a part of with and mention them in your assignment"
Career Exploration,Rejected,You have to include the career paths in your assignment.
Career Exploration,Rejected,"You need to explore the various industries that you can get in with this degree, what are the various career paths for this degree. "
Career Exploration,Rejected,"Also do read the instructions carefully before doing the assignment, you only need to submit a creative representation of your career exploration. "
Career Exploration,Rejected,Redo the assignment including all of these and submit.
Goal Setting,Accepted,"Good job. You can add more specifics of which institutes, which courses you will like to achieve the goals in. "
Goal Setting,Accepted,"Awesome! You understood the purpose of the assignment, perfectly. "
Goal Setting,Rejected,You need to bring clarity in your 3yrs and 5yrs goals. 
Goal Setting,Rejected,The part 2 of the assignment is very broad and vague. 
Goal Setting,Rejected,"Try to find out which are the possible career paths for the degree, which firms employ candidates with this degree! "
Goal Setting,Rejected,"10year goal means, where you see yourself after 10years!"
Goal Setting,Rejected,You submitted your assignment in a wrong format that does not open. Please submit a valid format!
Goal Setting,Rejected,"You should be specific about, the degree and certifications needed!"
Goal Setting,Rejected,Go through the videos again and try to understand how to set the 3year and 5year goals. 
Goal Setting,Rejected,You need to bring clarity in your 3yrs and 5yrs goals. 
Goal Setting,Rejected," If you already did your Bsc within 3 years, why is it again in your 5 year goal, you want to do 2 Bsc?"
Goal Setting,Rejected,Go through the videos again and try to understand how to set the 3year and 5year goals. You have not watched videos or attended the workshop and submitted something random
Goal Setting,Rejected,"Be specific about the skills, masters entrance exams you plan to appear, institutes from which you want to do masters or PhD, certifications needed. "
Goal Setting,Rejected,Try to find out which abroad university are you planning to do PhD from
Goal Setting,Rejected,Redo and submit the assignment considering these points.
Goal Setting,Rejected,Be very specific about the skills that are needed.
Goal Setting,Rejected,"Masters is a degree, not a career!"
Goal Setting,Rejected,"Try to be specific, this is very broad and vague"
Goal Setting,Rejected,Go through the videos again.
Goal Setting,Rejected,You have not mentioned the subject and the degree you plan to pursue!
Goal Setting,Rejected, You have not written the 3year goals.
Goal Setting,Rejected,"Be specific about the masters entrance exams you plan to appear, institutes from which you want to do masters. "
Goal Setting,Rejected,The assignment is to figure out what 3 year goals and what 5 year goals will help you in reaching your 10 year goal.
Goal Setting,Rejected,You have not watched videos or attended the workshop and submitted something random
SMART goal,Accepted,This is ok. you can make it more specific. But you have understood the concept. Make it more detailed for yourself.
SMART goal,Accepted,This is good. All the best with your  prep.
SMART goal,Accepted,Well Done!
SMART goal,Accepted,"It seems that you have understood the concept, but the goal needs to be very specific and short-term (not years)."
SMART goal,Accepted,This is good. you have understood the concept. use SMART goals as you progress through your careers.
SMART goal,Rejected," S: The goal needs to be very specific, to the point, like exactly what is the goal and short-term(in 3 - 6 months, not years)."
SMART goal,Rejected,M: The Measurable is not right. How will you track your progress towards achieving your goal? How will you measure your progress towards achieving the goal?
SMART goal,Rejected,A :Think how much time you can spend daily. Is it good enough to achieve the goal? Is it really possible to spend this amount of time for the goal?
SMART goal,Rejected,The R means you need to write how this goal is relevant to your long-term goal. This does not describe how it is relevant to your long term goal.
SMART goal,Rejected,"T: It should be time bound and not open ended. Give deadlines. Give concrete time in days, weeks and months."
SMART goal,Rejected,"All: You may have to see all the videos again to get to a good SMART goal. S: The goal needs to be very specific and short-term (not years).
The Measurable is not right. How will you track your progress towards achieving your goal? How will you measure your progress towards achieving the goal?
For A, think how much time you can spend daily. Is it good enough to achieve the goal? How will you know you could achieve the goal?
The R means you need to write how this goal is relevant to your long-term goal. This does not describe how it is relevant to your long term goal. It should be time bound and not open ended. Give deadlines. Give concrete time in days, weeks and months."
SWOT,Accepted, Done well. Please now make another again SWOT with a Fixed Goal in Mind for yourself
SWOT,Accepted,Well Done and written. You know more about yourself and given a full spectrum of yourself. Now focus your SWOT sentences more towards your Goal - And if possible make it again for yourself.
SWOT,Accepted,You have passed this.! You can do much better. Focus your SWOT more on your Goal to do better. Write more in details for that Goal.And if possible make it again for yourself.
SWOT,Accepted,"You have passed this.! You can do much better. Think harder with Opportunities and Strengths, you surely have more. Go for it. And if possible make it again for yourself."
SWOT,Accepted,Very well done.! With a goal in mind. Good Clarity.! Amazing!
SWOT,Accepted,Good job. You have understood the concept. Implement the strategies in real life too.
SWOT,Rejected,Write in Full sentences and in details. All or most of your answer can not be one or two word points.
SWOT,Rejected,Do not copy from the Example. Please write your own SWOT
SWOT,Rejected,Please write properly without spelling mistakes. Can not understand
SWOT,Rejected,Please use the Template and write your assignment within the file. Then save and and upload the assignment file in the app.
SWOT,Rejected,"Think harder with Opportunities and Strengths, you surely have more. Go for it. Same for Weaknesses and Threats. Write in more details and more points."
SWOT,Rejected," Please have a look again at the Recorded Lectures. There is a mix-up between weaknesses and threats, strenghts and opportunities."
SWOT,Rejected, Please have a look again at the Recorded Lectures. Write only things relevant to your goal.
SWOT,Rejected,"This is too broad and vague. You SWOT should be detailed and specific to your GOAL. Your strategies must be specific and be implementable in life to help you achieve your goal. You got the concept, but it needs to be relevant to your goal. Put more effort and redo."
SWOT,Rejected,Please watch the recorded workshop session to get a clearer idea about how to do the assignment!
SWOT,Rejected," Your strategies must be very specific and be implementable in life to help you achieve your goal, they should give the answer of ""How to do that"", not just ""What to do"".  Put more effort and redo. "
SWOT,Rejected,Your SWOT is irrelevant to your Goal. It must be relevant to the short term goal . 
SWOT,Rejected,The strategies are too vague. Make them more specific. Spend time thinking about what strategies will help you tackle this problem and come up with ideas.
SWOT,Rejected,Incomplete assignment submitted. 
SWOT,Rejected,"Do it for yourself, no need to submit !"
SWOT,Rejected,Just remember to write in bullet pointers instead of paragraphs. This makes your assignment appear better!
SWOT,Rejected,"This is again very broad, try to make it specific. "
SWOT,Rejected,"Do it for yourself. No need to submit that, as it was your last chance for submission."
SWOT,Rejected,It seems that you have not understood the assignment. 
SWOT,Rejected,What is your goal? You have to make the SWOT for some specific goal! 
SWOT,Rejected,The goal you have mentioned is very broad and vague! 
SWOT,Rejected, Please go through the recorded lectures and workshop video again and redo the assignment! 
